# 2theta	intensity	baseline	bg_subtracted	normalized
13.19617 11900.00000 11622.15533 277.84467 0.00866
13.20703 11952.00000 11617.07738 334.92262 0.01043
13.21790 12116.00000 11612.00657 503.99343 0.01570
13.22877 11869.00000 11606.94287 262.05713 0.00816
13.23963 11810.00000 11601.88623 208.11377 0.00648
13.25050 11910.00000 11596.83660 313.16340 0.00976
13.26137 11995.00000 11591.79394 403.20606 0.01256
13.27223 11899.00000 11586.75822 312.24178 0.00973
13.28310 11991.00000 11581.72938 409.27062 0.01275
13.29396 11905.00000 11576.70738 328.29262 0.01023
13.30483 11894.00000 11571.69219 322.30781 0.01004
13.31570 12037.00000 11566.68376 470.31624 0.01465
13.32656 11933.00000 11561.68204 371.31796 0.01157
13.33743 12143.00000 11556.68701 586.31299 0.01827
13.34830 11769.00000 11551.69861 217.30139 0.00677
13.35916 11841.00000 11546.71681 294.28319 0.00917
13.37003 11686.00000 11541.74157 144.25843 0.00449
13.38090 11900.00000 11536.77285 363.22715 0.01132
13.39176 11743.00000 11531.81061 211.18939 0.00658
13.40263 11673.00000 11526.85481 146.14519 0.00455
13.41350 11783.00000 11521.90541 261.09459 0.00813
13.42436 11604.00000 11516.96238 87.03762 0.00271
13.43523 11738.00000 11512.02567 225.97433 0.00704
13.44609 11711.00000 11507.09525 203.90475 0.00635
13.45696 11825.00000 11502.17108 322.82892 0.01006
13.46783 11655.00000 11497.25312 157.74688 0.00491
13.47869 11940.00000 11492.34134 447.65866 0.01395
13.48956 11884.00000 11487.43569 396.56431 0.01236
13.50043 11911.00000 11482.53614 428.46386 0.01335
13.51129 11576.00000 11477.64266 98.35734 0.00306
13.52216 11705.00000 11472.75521 232.24479 0.00724
13.53303 11733.00000 11467.87374 265.12626 0.00826
13.54389 11641.00000 11462.99824 178.00176 0.00555
13.55476 11603.00000 11458.12866 144.87134 0.00451
13.56563 11808.00000 11453.26496 354.73504 0.01105
13.57649 11754.00000 11448.40711 305.59289 0.00952
13.58736 11837.00000 11443.55508 393.44492 0.01226
13.59822 11569.00000 11438.70883 130.29117 0.00406
13.60909 11750.00000 11433.86833 316.13167 0.00985
13.61996 11746.00000 11429.03355 316.96645 0.00988
13.63082 11706.00000 11424.20444 281.79556 0.00878
13.64169 11857.00000 11419.38098 437.61902 0.01363
13.65256 11581.00000 11414.56314 166.43686 0.00519
13.66342 11662.00000 11409.75088 252.24912 0.00786
13.67429 11724.00000 11404.94417 319.05583 0.00994
13.68516 11759.00000 11400.14297 358.85703 0.01118
13.69602 11739.00000 11395.34726 343.65274 0.01071
13.70689 11565.00000 11390.55701 174.44299 0.00543
13.71776 11768.00000 11385.77218 382.22782 0.01191
13.72862 11715.00000 11380.99274 334.00726 0.01041
13.73949 11818.00000 11376.21866 441.78134 0.01376
13.75036 11761.00000 11371.44992 389.55008 0.01214
13.76122 11768.00000 11366.68648 401.31352 0.01250
13.77209 11632.00000 11361.92830 270.07170 0.00841
13.78295 11659.00000 11357.17538 301.82462 0.00940
13.79382 11688.00000 11352.42767 335.57233 0.01046
13.80469 11518.00000 11347.68514 170.31486 0.00531
13.81555 11622.00000 11342.94777 279.05223 0.00869
13.82642 11833.00000 11338.21554 494.78446 0.01542
13.83729 11690.00000 11333.48841 356.51159 0.01111
13.84815 11579.00000 11328.76635 250.23365 0.00780
13.85902 11622.00000 11324.04934 297.95066 0.00928
13.86989 11575.00000 11319.33736 255.66264 0.00797
13.88075 11586.00000 11314.63037 271.36963 0.00845
13.89162 11609.00000 11309.92835 299.07165 0.00932
13.90249 11545.00000 11305.23128 239.76872 0.00747
13.91335 11633.00000 11300.53913 332.46087 0.01036
13.92422 11633.00000 11295.85187 337.14813 0.01050
13.93508 11344.00000 11291.16948 52.83052 0.00165
13.94595 11488.00000 11286.49194 201.50806 0.00628
13.95682 11398.00000 11281.81922 116.18078 0.00362
13.96768 11735.00000 11277.15129 457.84871 0.01426
13.97855 11624.00000 11272.48814 351.51186 0.01095
13.98942 11748.00000 11267.82974 480.17026 0.01496
14.00028 11828.00000 11263.17606 564.82394 0.01760
14.01115 11718.00000 11258.52708 459.47292 0.01432
14.02202 11701.00000 11253.88279 447.11721 0.01393
14.03288 11363.00000 11249.24315 113.75685 0.00354
14.04375 11731.00000 11244.60816 486.39184 0.01515
14.05462 11428.00000 11239.97778 188.02222 0.00586
14.06548 11516.00000 11235.35199 280.64801 0.00874
14.07635 11451.00000 11230.73078 220.26922 0.00686
14.08721 11413.00000 11226.11413 186.88587 0.00582
