# 2theta	intensity	baseline	bg_subtracted	normalized
13.61996 13671.00000 13503.78608 167.21392 0.00419
13.63082 13808.00000 13499.06213 308.93787 0.00774
13.64169 13635.00000 13494.34612 140.65388 0.00352
13.65256 13826.00000 13489.63811 336.36189 0.00842
13.66342 13707.00000 13484.93810 222.06190 0.00556
13.67429 13880.00000 13480.24614 399.75386 0.01001
13.68516 13618.00000 13475.56226 142.43774 0.00357
13.69602 13888.00000 13470.88649 417.11351 0.01045
13.70689 13724.00000 13466.21886 257.78114 0.00646
13.71776 13599.00000 13461.55939 137.44061 0.00344
13.72862 13824.00000 13456.90813 367.09187 0.00919
13.73949 13614.00000 13452.26511 161.73489 0.00405
13.75036 13708.00000 13447.63036 260.36964 0.00652
13.76122 13699.00000 13443.00391 255.99609 0.00641
13.77209 13739.00000 13438.38579 300.61421 0.00753
13.78295 13730.00000 13433.77604 296.22396 0.00742
13.79382 13845.00000 13429.17470 415.82530 0.01041
13.80469 13755.00000 13424.58179 330.41821 0.00828
13.81555 13673.00000 13419.99735 253.00265 0.00634
13.82642 13823.00000 13415.42142 407.57858 0.01021
13.83729 13849.00000 13410.85403 438.14597 0.01097
13.84815 13578.00000 13406.29521 171.70479 0.00430
13.85902 13482.00000 13401.74501 80.25499 0.00201
13.86989 13643.00000 13397.20346 245.79654 0.00616
13.88075 13679.00000 13392.67059 286.32941 0.00717
13.89162 13592.00000 13388.14644 203.85356 0.00511
13.90249 13621.00000 13383.63104 237.36896 0.00594
13.91335 13863.00000 13379.12444 483.87556 0.01212
13.92422 13716.00000 13374.62668 341.37332 0.00855
13.93508 13593.00000 13370.13778 222.86222 0.00558
13.94595 13761.00000 13365.65779 395.34221 0.00990
13.95682 13512.00000 13361.18674 150.81326 0.00378
13.96768 13708.00000 13356.72468 351.27532 0.00880
13.97855 13646.00000 13352.27164 293.72836 0.00736
13.98942 13809.00000 13347.82766 461.17234 0.01155
14.00028 13639.00000 13343.39278 295.60722 0.00740
14.01115 13617.00000 13338.96704 278.03296 0.00696
14.02202 13635.00000 13334.55048 300.44952 0.00752
14.03288 13420.00000 13330.14315 89.85685 0.00225
14.04375 13566.00000 13325.74507 240.25493 0.00602
14.05462 13744.00000 13321.35630 422.64370 0.01059
14.06548 13404.00000 13316.97687 87.02313 0.00218
14.07635 13730.00000 13312.60683 417.39317 0.01045
