# 2theta	intensity	baseline	bg_subtracted	normalized
15.29339 11439.00000 11176.25851 262.74149 0.00630
15.30426 11609.00000 11172.25851 436.74149 0.01048
15.31512 11437.00000 11168.26391 268.73609 0.00645
15.32599 11562.00000 11164.27471 397.72529 0.00954
15.33686 11496.00000 11160.29088 335.70912 0.00805
15.34772 11691.00000 11156.31245 534.68755 0.01283
15.35859 11611.00000 11152.33939 458.66061 0.01100
15.36945 11686.00000 11148.37172 537.62828 0.01290
15.38032 11514.00000 11144.40942 369.59058 0.00887
15.39119 11520.00000 11140.45249 379.54751 0.00911
15.40205 11574.00000 11136.50095 437.49905 0.01050
15.41292 11584.00000 11132.55477 451.44523 0.01083
15.42379 11697.00000 11128.61398 568.38602 0.01364
15.43465 11705.00000 11124.67855 580.32145 0.01392
15.44552 11767.00000 11120.74851 646.25149 0.01551
15.45639 11592.00000 11116.82384 475.17616 0.01140
15.46725 11650.00000 11112.90455 537.09545 0.01289
15.47812 11612.00000 11108.99064 503.00936 0.01207
15.48899 11749.00000 11105.08212 643.91788 0.01545
