# 2theta	intensity	baseline	bg_subtracted	normalized
12.50071 14713.00000 14205.11206 507.88794 0.01337
12.51158 14479.00000 14198.50595 280.49405 0.00738
12.52245 14507.00000 14191.90398 315.09602 0.00829
12.53331 14245.00000 14185.30619 59.69381 0.00157
12.54418 14444.00000 14178.71268 265.28732 0.00698
12.55505 14540.00000 14172.12351 367.87649 0.00968
12.56591 14697.00000 14165.53875 531.46125 0.01399
12.57678 14425.00000 14158.95847 266.04153 0.00700
12.58765 14382.00000 14152.38275 229.61725 0.00604
12.59851 14617.00000 14145.81166 471.18834 0.01240
12.60938 14263.00000 14139.24527 123.75473 0.00326
12.62025 14228.00000 14132.68366 95.31634 0.00251
12.63111 14255.00000 14126.12691 128.87309 0.00339
12.64198 14354.00000 14119.57507 234.42493 0.00617
12.65284 14149.00000 14113.02824 35.97176 0.00095
12.66371 14406.00000 14106.48648 299.51352 0.00788
12.67458 14498.00000 14099.94987 398.05013 0.01048
12.68544 14429.00000 14093.41848 335.58152 0.00883
12.69631 14474.00000 14086.89238 387.10762 0.01019
12.70718 14264.00000 14080.37166 183.62834 0.00483
12.71804 14312.00000 14073.85639 238.14361 0.00627
12.72891 14548.00000 14067.34665 480.65335 0.01265
12.73978 14308.00000 14060.84250 247.15750 0.00650
12.75064 14418.00000 14054.34403 363.65597 0.00957
12.76151 14611.00000 14047.85132 563.14868 0.01482
12.77238 14217.00000 14041.36444 175.63556 0.00462
12.78324 14119.00000 14034.88347 84.11653 0.00221
12.79411 14468.00000 14028.40849 439.59151 0.01157
12.80497 14523.00000 14021.93957 501.06043 0.01319
12.81584 14115.00000 14015.47680 99.52320 0.00262
12.82671 14382.00000 14009.02025 372.97975 0.00982
12.83757 14141.00000 14002.57000 138.43000 0.00364
12.84844 14208.00000 13996.12614 211.87386 0.00558
12.85931 14202.00000 13989.68874 212.31126 0.00559
12.87017 14487.00000 13983.25788 503.74212 0.01326
12.88104 14142.00000 13976.83364 165.16636 0.00435
12.89191 14350.00000 13970.41610 379.58390 0.00999
12.90277 14212.00000 13964.00535 247.99465 0.00653
