# 2theta	intensity	baseline	bg_subtracted	normalized
11.67177 13946.00000 13754.04089 191.95911 0.00507
11.68264 14217.00000 13748.49459 468.50541 0.01237
11.69350 13929.00000 13742.95395 186.04605 0.00491
11.70437 14048.00000 13737.41906 310.58094 0.00820
11.71524 14122.00000 13731.89001 390.10999 0.01030
11.72610 14050.00000 13726.36689 323.63311 0.00854
11.73697 14130.00000 13720.84981 409.15019 0.01080
11.74784 13890.00000 13715.33885 174.66115 0.00461
11.75870 14013.00000 13709.83410 303.16590 0.00800
11.76957 14016.00000 13704.33566 311.66434 0.00823
11.78044 14102.00000 13698.84363 403.15637 0.01064
11.79130 14051.00000 13693.35810 357.64190 0.00944
11.80217 13995.00000 13687.87917 307.12083 0.00811
11.81303 14119.00000 13682.40692 436.59308 0.01153
11.82390 13919.00000 13676.94147 242.05853 0.00639
11.83477 14214.00000 13671.48289 542.51711 0.01432
11.84563 14120.00000 13666.03130 453.96870 0.01198
11.85650 14006.00000 13660.58678 345.41322 0.00912
11.86737 13908.00000 13655.14944 252.85056 0.00667
11.87823 14113.00000 13649.71937 463.28063 0.01223
11.88910 13947.00000 13644.29666 302.70334 0.00799
11.89997 14165.00000 13638.88143 526.11857 0.01389
11.91083 13828.00000 13633.47377 194.52623 0.00514
11.92170 13939.00000 13628.07377 310.92623 0.00821
11.93257 13813.00000 13622.68154 190.31846 0.00502
11.94343 13972.00000 13617.29718 354.70282 0.00936
11.95430 14023.00000 13611.92078 411.07922 0.01085
11.96517 13806.00000 13606.55245 199.44755 0.00527
11.97603 13899.00000 13601.19229 297.80771 0.00786
11.98690 13713.00000 13595.84040 117.15960 0.00309
11.99776 14085.00000 13590.49688 494.50312 0.01305
12.00863 13948.00000 13585.16184 362.83816 0.00958
12.01950 13997.00000 13579.83536 417.16464 0.01101
12.03036 13881.00000 13574.51757 306.48243 0.00809
12.04123 14006.00000 13569.20855 436.79145 0.01153
12.05210 14006.00000 13563.90842 442.09158 0.01167
12.06296 13966.00000 13558.61727 407.38273 0.01075
12.07383 14067.00000 13553.33522 513.66478 0.01356
12.08470 13860.00000 13548.06236 311.93764 0.00823
12.09556 13776.00000 13542.79879 233.20121 0.00616
12.10643 13912.00000 13537.54464 374.45536 0.00989
12.11730 13830.00000 13532.29999 297.70001 0.00786
12.12816 13514.00000 13527.06496 -13.06496 -0.00034
12.13903 13719.00000 13521.83965 197.16035 0.00520
12.14989 13779.00000 13516.62404 262.37596 0.00693
12.16076 13639.00000 13511.41810 127.58190 0.00337
12.17163 14074.00000 13506.22181 567.77819 0.01499
12.18249 13861.00000 13501.03515 359.96485 0.00950
12.19336 13797.00000 13495.85809 301.14191 0.00795
12.20423 13826.00000 13490.69061 335.30939 0.00885
12.21509 13871.00000 13485.53269 385.46731 0.01018
12.22596 13794.00000 13480.38429 313.61571 0.00828
12.23683 13975.00000 13475.24542 499.75458 0.01319
12.24769 13693.00000 13470.11603 222.88397 0.00588
12.25856 13614.00000 13464.99611 149.00389 0.00393
12.26943 13797.00000 13459.88564 337.11436 0.00890
12.28029 13840.00000 13454.78459 385.21541 0.01017
12.29116 13807.00000 13449.69296 357.30704 0.00943
12.30202 13516.00000 13444.61071 71.38929 0.00188
12.31289 13585.00000 13439.53782 145.46218 0.00384
12.32376 13911.00000 13434.47429 476.52571 0.01258
12.33462 13504.00000 13429.42008 74.57992 0.00197
12.34549 13819.00000 13424.37519 394.62481 0.01042
12.35636 13723.00000 13419.33958 303.66042 0.00802
12.36722 13794.00000 13414.31324 379.68676 0.01002
12.37809 13561.00000 13409.29616 151.70384 0.00400
12.38896 13736.00000 13404.28831 331.71169 0.00876
12.39982 13478.00000 13399.28968 78.71032 0.00208
12.41069 13578.00000 13394.30025 183.69975 0.00485
12.42156 13504.00000 13389.32001 114.67999 0.00303
12.43242 13380.00000 13384.34893 -4.34893 -0.00011
12.44329 13695.00000 13379.38700 315.61300 0.00833
12.45415 13689.00000 13374.43416 314.56584 0.00830
12.46502 13489.00000 13369.49034 119.50966 0.00315
12.47589 13791.00000 13364.55550 426.44450 0.01126
12.48675 13626.00000 13359.62956 266.37044 0.00703
12.49762 13738.00000 13354.71247 383.28753 0.01012
12.50849 13726.00000 13349.80417 376.19583 0.00993
12.51935 13569.00000 13344.90461 224.09539 0.00592
12.53022 13722.00000 13340.01372 381.98628 0.01008
12.54109 13679.00000 13335.13144 343.86856 0.00908
12.55195 13601.00000 13330.25772 270.74228 0.00715
12.56282 13766.00000 13325.39250 440.60750 0.01163
12.57369 13567.00000 13320.53572 246.46428 0.00651
12.58455 13752.00000 13315.68734 436.31266 0.01152
12.59542 13776.00000 13310.84728 465.15272 0.01228
12.60629 13548.00000 13306.01549 241.98451 0.00639
12.61715 13753.00000 13301.19193 451.80807 0.01193
12.62802 13693.00000 13296.37652 396.62348 0.01047
12.63888 13712.00000 13291.56923 420.43077 0.01110
12.64975 13540.00000 13286.76999 253.23001 0.00668
12.66062 13490.00000 13281.97875 208.02125 0.00549
12.67148 13424.00000 13277.19546 146.80454 0.00388
12.68235 13608.00000 13272.42006 335.57994 0.00886
12.69322 13689.00000 13267.65250 421.34750 0.01112
12.70408 13503.00000 13262.89273 240.10727 0.00634
12.71495 13405.00000 13258.14069 146.85931 0.00388
12.72582 13663.00000 13253.39633 409.60367 0.01081
12.73668 13517.00000 13248.65960 268.34040 0.00708
12.74755 13560.00000 13243.93046 316.06954 0.00834
12.75842 13601.00000 13239.20883 361.79117 0.00955
12.76928 13549.00000 13234.49468 314.50532 0.00830
12.78015 13758.00000 13229.78796 528.21204 0.01394
12.79101 13725.00000 13225.08861 499.91139 0.01320
12.80188 13628.00000 13220.39658 407.60342 0.01076
12.81275 13630.00000 13215.71183 414.28817 0.01094
12.82361 13480.00000 13211.03430 268.96570 0.00710
12.83448 13373.00000 13206.36395 166.63605 0.00440
12.84535 13756.00000 13201.70073 554.29927 0.01463
12.85621 13467.00000 13197.04459 269.95541 0.00713
12.86708 13584.00000 13192.39547 391.60453 0.01034
12.87795 13542.00000 13187.75335 354.24665 0.00935
12.88881 13403.00000 13183.11816 219.88184 0.00580
12.89968 13454.00000 13178.48986 275.51014 0.00727
12.91055 13589.00000 13173.86840 415.13160 0.01096
12.92141 13670.00000 13169.25375 500.74625 0.01322
12.93228 13285.00000 13164.64584 120.35416 0.00318
12.94314 13447.00000 13160.04464 286.95536 0.00758
12.95401 13469.00000 13155.45011 313.54989 0.00828
