# 2theta	intensity	baseline	bg_subtracted	normalized
13.36252 13985.00000 13600.73079 384.26921 0.00946
13.37339 13816.00000 13596.27856 219.72144 0.00541
13.38426 13761.00000 13591.82980 169.17020 0.00416
13.39512 14116.00000 13587.38451 528.61549 0.01301
13.40599 13791.00000 13582.94273 208.05727 0.00512
13.41686 13871.00000 13578.50446 292.49554 0.00720
13.42772 14074.00000 13574.06974 499.93026 0.01230
13.43859 13945.00000 13569.63858 375.36142 0.00924
13.44946 13995.00000 13565.21100 429.78900 0.01058
13.46032 13992.00000 13560.78701 431.21299 0.01061
13.47119 13832.00000 13556.36665 275.63335 0.00678
13.48206 13774.00000 13551.94992 222.05008 0.00547
13.49292 14074.00000 13547.53685 526.46315 0.01296
13.50379 13816.00000 13543.12745 272.87255 0.00672
13.51465 13667.00000 13538.72176 128.27824 0.00316
13.52552 13776.00000 13534.31978 241.68022 0.00595
13.53639 14010.00000 13529.92153 480.07847 0.01182
13.54725 13734.00000 13525.52704 208.47296 0.00513
13.55812 13861.00000 13521.13633 339.86367 0.00836
13.56899 13813.00000 13516.74942 296.25058 0.00729
13.57985 13801.00000 13512.36632 288.63368 0.00710
13.59072 13671.00000 13507.98705 163.01295 0.00401
13.60159 13808.00000 13503.61164 304.38836 0.00749
13.61245 13635.00000 13499.24011 135.75989 0.00334
13.62332 13826.00000 13494.87247 331.12753 0.00815
13.63419 13707.00000 13490.50874 216.49126 0.00533
13.64505 13880.00000 13486.14895 393.85105 0.00969
13.65592 13618.00000 13481.79312 136.20688 0.00335
13.66678 13888.00000 13477.44126 410.55874 0.01010
13.67765 13724.00000 13473.09340 250.90660 0.00618
13.68852 13599.00000 13468.74955 130.25045 0.00321
13.69938 13824.00000 13464.40974 359.59026 0.00885
13.71025 13614.00000 13460.07398 153.92602 0.00379
13.72112 13708.00000 13455.74230 252.25770 0.00621
13.73198 13699.00000 13451.41472 247.58528 0.00609
13.74285 13739.00000 13447.09125 291.90875 0.00718
13.75372 13730.00000 13442.77192 287.22808 0.00707
13.76458 13845.00000 13438.45675 406.54325 0.01001
13.77545 13755.00000 13434.14576 320.85424 0.00790
13.78632 13673.00000 13429.83896 243.16104 0.00598
13.79718 13823.00000 13425.53638 397.46362 0.00978
13.80805 13849.00000 13421.23804 427.76196 0.01053
13.81891 13578.00000 13416.94396 161.05604 0.00396
13.82978 13482.00000 13412.65415 69.34585 0.00171
13.84065 13643.00000 13408.36865 234.63135 0.00577
13.85151 13679.00000 13404.08747 274.91253 0.00677
13.86238 13592.00000 13399.81063 192.18937 0.00473
13.87325 13621.00000 13395.53815 225.46185 0.00555
